OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Died,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Neutered Male,22.5,Labrador Retriever Mix,Black/White
Adoption,Cat,Neutered Male,9.0,other,other
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,104.0,other,Blue/White
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,208.0,Miniature Poodle Mix,other
Return_to_owner,Dog,Neutered Male,27.0,Pit Bull Mix,Black/White
Return_to_owner,Dog,Neutered Male,9.0,Chihuahua Shorthair Mix,Tan/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Intact Female,9.0,Australian Shepherd Mix,other
Transfer,Dog,Neutered Male,416.0,other,White
Transfer,Cat,Intact Male,4.5,Siamese Mix,Lynx Point
Adoption,Dog,Neutered Male,312.0,Pit Bull Mix,other
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,4.5,other,other
Adoption,Dog,Spayed Female,13.5,Chihuahua Shorthair Mix,Black/Brown
Adoption,Dog,Spayed Female,312.0,Chihuahua Shorthair Mix,Tan/White
Adoption,Dog,Neutered Male,40.5,other,Tricolor
Transfer,Cat,Intact Female,2.0,Domestic Medium Hair Mix,Brown Tabby
Transfer,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,White
Return_to_owner,Cat,Neutered Male,676.0,Domestic Shorthair,Black/White
Return_to_owner,Dog,Neutered Male,156.0,Catahoula Mix,Brown Brindle
Return_to_owner,Dog,Neutered Male,156.0,other,other
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,45.0,Boxer Mix,Brown
Transfer,Dog,Spayed Female,104.0,other,Tan
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Spayed Female,52.0,other,Brown Brindle/White
Transfer,Dog,Intact Male,9.0,other,other
Adoption,Dog,Intact Male,9.0,other,Tan
Adoption,Dog,Neutered Male,9.0,other,Tricolor
Adoption,Dog,Neutered Male,156.0,Chihuahua Longhair Mix,Tricolor
Adoption,Dog,Neutered Male,31.5,other,Chocolate/White
Adoption,Dog,Spayed Female,49.5,Labrador Retriever Mix,Yellow
Adoption,Dog,Spayed Female,156.0,other,Black/White
Euthanasia,Dog,Neutered Male,104.0,other,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,364.0,other,Black/White
Transfer,Dog,Spayed Female,104.0,Pit Bull Mix,Brown/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Blue Tabby
Return_to_owner,Dog,Neutered Male,104.0,other,Red/White
Transfer,Dog,Spayed Female,18.0,Pit Bull Mix,Brown/White
Transfer,Dog,Spayed Female,208.0,other,White/Tan
Adoption,Cat,Spayed Female,13.5,Domestic Longhair Mix,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,104.0,Boxer Mix,Brown Brindle
Return_to_owner,Dog,Neutered Male,208.0,Dachshund Mix,White/Tan
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Tortie
Return_to_owner,Dog,Neutered Male,104.0,other,other
Transfer,Dog,Intact Female,18.0,Pit Bull Mix,Chocolate/White
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Blue Tabby
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,156.0,other,Brown Brindle
Adoption,Dog,Neutered Male,22.5,other,Tan/Black
Adoption,Dog,Spayed Female,31.5,other,Chocolate
Died,Cat,Intact Female,4.0,Domestic Shorthair Mix,Tortie
Transfer,Dog,Spayed Female,9.0,Labrador Retriever Mix,Black/White
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,9.0,other,Brown/Black
Adoption,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Neutered Male,52.0,American Bulldog Mix,White/Black
Adoption,Dog,Spayed Female,9.0,Labrador Retriever Mix,Black/White
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Blue Tabby/White
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,22.5,Jack Russell Terrier Mix,White
Return_to_owner,Dog,Neutered Male,18.0,other,Black/White
Transfer,Cat,Intact Female,18.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Cat,Intact Female,52.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Neutered Male,364.0,Domestic Longhair Mix,Black
Transfer,Cat,Intact Male,156.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,156.0,Border Collie Mix,Black/White
Transfer,Dog,Neutered Male,104.0,other,other
Adoption,Dog,Neutered Male,45.0,German Shepherd Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,520.0,other,Tan/White
Euthanasia,Cat,Intact Female,416.0,Domestic Medium Hair Mix,White
Died,Dog,Neutered Male,520.0,other,Cream
Adoption,Dog,Neutered Male,260.0,other,Brown/Black
Transfer,Cat,Intact Male,22.5,Domestic Shorthair Mix,Blue
Transfer,Dog,Intact Female,624.0,other,Black
Transfer,Dog,Spayed Female,104.0,German Shepherd Mix,other
Euthanasia,Dog,Intact Female,104.0,Pit Bull Mix,other
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,9.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Spayed Female,9.0,Chihuahua Longhair Mix,other
Adoption,Dog,Neutered Male,312.0,other,Brown/White
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Blue
Transfer,Dog,Neutered Male,364.0,Chihuahua Longhair Mix,Brown/White
Adoption,Cat,Intact Male,9.0,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,49.5,other,White/Black
Return_to_owner,Dog,Spayed Female,104.0,other,other
Transfer,Dog,Intact Female,13.5,Pit Bull Mix,White/Brown
Adoption,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Cream
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,9.0,other,Orange Tabby
Return_to_owner,Dog,Spayed Female,208.0,Dachshund Mix,Black/White
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Intact Female,4.5,other,Tan
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,45.0,other,Cream
Transfer,Dog,Intact Male,27.0,Beagle Mix,Tan/White
Return_to_owner,Dog,Spayed Female,40.5,other,White/Black
Euthanasia,Dog,Intact Male,520.0,other,White/Brown
Transfer,Dog,Neutered Male,18.0,Pit Bull Mix,Tan/White
Adoption,Dog,Neutered Male,9.0,other,other
Return_to_owner,Dog,Intact Male,624.0,Chihuahua Longhair Mix,Tan
Adoption,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Spayed Female,104.0,Shih Tzu Mix,Tricolor
Adoption,Cat,Neutered Male,468.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,416.0,Miniature Poodle Mix,Buff
Transfer,Dog,Spayed Female,52.0,Labrador Retriever Mix,Black/White
Transfer,Dog,Intact Male,9.0,other,Black/White
Transfer,Dog,Intact Female,36.0,other,White/Brown
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,Brown/White
Return_to_owner,Dog,Intact Female,156.0,Chihuahua Shorthair Mix,Brown
Died,Cat,Intact Male,4.5,Domestic Longhair Mix,Blue
Return_to_owner,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,White/Tan
Transfer,Dog,Neutered Male,104.0,Labrador Retriever Mix,Brown
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Dog,Neutered Male,624.0,other,Black/Tan
Adoption,Dog,Spayed Female,52.0,Border Collie Mix,Black/White
Transfer,Dog,Intact Female,624.0,other,Black/Brown
Transfer,Cat,Intact Male,1.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Neutered Male,13.5,other,Black/White
Transfer,Dog,Intact Female,520.0,other,Buff
Transfer,Dog,Neutered Male,52.0,Labrador Retriever Mix,Black/White
Transfer,Cat,Intact Female,1.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Spayed Female,13.5,Border Collie Mix,Black/White
Transfer,Dog,Intact Female,156.0,other,Black/White
Transfer,Dog,Intact Female,156.0,Chihuahua Longhair Mix,White
Transfer,Dog,Intact Male,104.0,Pit Bull Mix,Brown/White
Transfer,Dog,Neutered Male,364.0,Miniature Schnauzer Mix,Black
Adoption,Cat,Neutered Male,13.5,Domestic Medium Hair Mix,Blue
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,White/Blue
Adoption,Dog,Spayed Female,104.0,other,Tan/White
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Red
Adoption,Dog,Neutered Male,9.0,other,Black/White
Transfer,Cat,Neutered Male,13.5,Domestic Shorthair Mix,White/Black
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,104.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,208.0,other,Tricolor
Return_to_owner,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Brown
Adoption,Dog,Spayed Female,13.5,other,other
Euthanasia,Dog,Neutered Male,52.0,other,other
Return_to_owner,Dog,Spayed Female,312.0,other,Brown
Adoption,Cat,Spayed Female,416.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Chocolate/White
Adoption,Dog,Spayed Female,104.0,Labrador Retriever Mix,Black
Return_to_owner,Dog,Spayed Female,52.0,Australian Cattle Dog Mix,other
Transfer,Dog,Spayed Female,13.5,other,White/Brown
Transfer,Cat,Intact Male,104.0,Domestic Shorthair Mix,Blue
Return_to_owner,Dog,Intact Female,4.0,Chihuahua Shorthair Mix,Tricolor
Transfer,Cat,Neutered Male,364.0,other,Brown Tabby
Adoption,Cat,Intact Male,4.5,Domestic Shorthair Mix,Blue
Return_to_owner,Dog,Neutered Male,520.0,Labrador Retriever Mix,Black
Adoption,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Spayed Female,104.0,other,Blue/White
Transfer,Dog,Intact Male,156.0,Dachshund Mix,Red
Adoption,Cat,Neutered Male,676.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Brown
Return_to_owner,Dog,Intact Male,52.0,American Bulldog Mix,other
Transfer,Dog,Spayed Female,52.0,Labrador Retriever Mix,other
Adoption,Dog,Neutered Male,36.0,other,Brown
Adoption,Dog,Spayed Female,36.0,Chihuahua Shorthair Mix,Red/White
Adoption,Cat,Intact Female,9.0,Domestic Medium Hair Mix,Black/White
Adoption,Dog,Spayed Female,312.0,other,Brown
Adoption,Dog,Neutered Male,208.0,Miniature Schnauzer Mix,Black
Adoption,Dog,Spayed Female,22.5,German Shepherd Mix,Sable
Transfer,Cat,Spayed Female,260.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Neutered Male,104.0,Labrador Retriever Mix,Black
Transfer,Dog,Intact Female,0.2857142857142857,Pit Bull Mix,Brown Brindle/White
Transfer,Dog,Intact Male,4.5,Chihuahua Shorthair Mix,White/Black
Adoption,Cat,Spayed Female,728.0,Domestic Longhair Mix,Calico
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Torbie
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,52.0,other,White/Black
Adoption,Dog,Neutered Male,4.5,Miniature Poodle Mix,Black/White
Return_to_owner,Dog,Intact Female,208.0,other,Brown
Transfer,Cat,Intact Male,22.5,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Dog,Intact Male,260.0,other,other
Euthanasia,Dog,Intact Female,22.5,other,White/Brown
Transfer,Cat,Neutered Male,156.0,Siamese Mix,other
Return_to_owner,Dog,Intact Female,104.0,other,Chocolate/White
Return_to_owner,Dog,Spayed Female,468.0,Rottweiler Mix,Black/Brown
Adoption,Dog,Spayed Female,104.0,other,Black/Brown
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Neutered Male,4.5,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,36.0,other,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,9.0,other,Brown
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Neutered Male,13.5,Pit Bull Mix,White/Blue
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Blue/White
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,Brown/White
Adoption,Dog,Spayed Female,260.0,other,Brown/White
Return_to_owner,Dog,Spayed Female,104.0,other,White
Return_to_owner,Dog,Neutered Male,208.0,Cairn Terrier Mix,Cream
Adoption,Cat,Intact Female,9.0,Domestic Longhair Mix,Black
Adoption,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Male,0.5714285714285714,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Intact Female,31.5,Chihuahua Longhair Mix,Tricolor
Adoption,Dog,Spayed Female,104.0,other,Blue/White
Adoption,Dog,Spayed Female,52.0,Dachshund Mix,Brown Brindle/White
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Blue/White
Return_to_owner,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Tricolor
Return_to_owner,Dog,Neutered Male,52.0,German Shepherd Mix,Sable
Transfer,Cat,Intact Female,0.42857142857142855,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,52.0,Australian Cattle Dog Mix,White/Brown
Adoption,Dog,Spayed Female,52.0,Boxer Mix,Tricolor
Adoption,Dog,Neutered Male,45.0,other,Red/White
Return_to_owner,Dog,Intact Male,104.0,German Shepherd Mix,Black
Adoption,Dog,Spayed Female,9.0,Chihuahua Shorthair Mix,other
Transfer,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Intact Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Neutered Male,22.5,Dachshund Mix,Tricolor
Adoption,Dog,Neutered Male,416.0,other,Tricolor
Transfer,Dog,Intact Female,4.5,other,Tricolor
Adoption,Dog,Neutered Male,13.5,Labrador Retriever Mix,other
Transfer,Dog,Neutered Male,104.0,other,Red/White
Adoption,Dog,Neutered Male,45.0,other,other
Adoption,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Cream Tabby
Transfer,Dog,Neutered Male,104.0,other,other
Return_to_owner,Dog,Spayed Female,208.0,other,other
Adoption,Dog,Neutered Male,45.0,other,Black/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Torbie
Transfer,Cat,Intact Female,13.5,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,9.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Spayed Female,13.5,Labrador Retriever Mix,Red
Return_to_owner,Dog,Neutered Male,104.0,Chihuahua Longhair Mix,Brown
Adoption,Dog,Spayed Female,52.0,other,Brown Brindle/White
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Black
Euthanasia,Cat,Spayed Female,416.0,other,other
Return_to_owner,Dog,Neutered Male,832.0,Australian Cattle Dog Mix,Brown/White
Euthanasia,Dog,Spayed Female,104.0,Pit Bull Mix,Black
Adoption,Cat,Spayed Female,416.0,Siamese Mix,Lynx Point
Adoption,Dog,Spayed Female,156.0,other,Brown/White
Transfer,Dog,Neutered Male,104.0,other,White/Tan
Transfer,Cat,Intact Male,36.0,Domestic Shorthair Mix,Black
Transfer,Dog,Spayed Female,52.0,Pit Bull Mix,White/Brown Brindle
Adoption,Cat,Spayed Female,260.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Black
Adoption,Cat,Intact Female,4.5,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,Dog,Neutered Male,364.0,Chihuahua Shorthair Mix,Black/Tan
Transfer,Dog,Neutered Male,104.0,Labrador Retriever Mix,Black
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Black/White
Return_to_owner,Dog,Neutered Male,156.0,Dachshund Mix,Black
Adoption,Dog,Spayed Female,45.0,Chihuahua Shorthair Mix,Tan
Adoption,Dog,Spayed Female,364.0,Beagle Mix,Tricolor
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,676.0,other,Yellow
Euthanasia,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,260.0,Pit Bull Mix,Brown/White
Transfer,Cat,Intact Female,36.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Spayed Female,364.0,other,Brown/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,156.0,Dachshund Mix,Black/Brown
Euthanasia,Cat,Intact Female,27.0,Domestic Medium Hair Mix,Blue
Return_to_owner,Dog,Neutered Male,156.0,other,other
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,208.0,Siberian Husky Mix,Black/Brown
Euthanasia,Dog,Intact Male,312.0,Labrador Retriever Mix,Chocolate
Return_to_owner,Dog,Spayed Female,364.0,other,other
Return_to_owner,Dog,Neutered Male,156.0,other,Red/White
Return_to_owner,Dog,Spayed Female,416.0,other,Brown
Euthanasia,Cat,Intact Male,104.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Spayed Female,27.0,Domestic Shorthair Mix,White/Blue
Transfer,Dog,Intact Female,13.5,Miniature Poodle Mix,other
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,other
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,9.0,other,other
Return_to_owner,Dog,Neutered Male,104.0,other,Brown/White
Transfer,Dog,Neutered Male,52.0,Dachshund Mix,Black/White
Return_to_owner,Dog,Neutered Male,208.0,Labrador Retriever Mix,other
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,other
Adoption,Dog,Spayed Female,13.5,other,White/Brown
Return_to_owner,Dog,Spayed Female,52.0,other,Black/White
Adoption,Dog,Neutered Male,22.5,other,Brown
Return_to_owner,Dog,Neutered Male,260.0,other,Black/White
Return_to_owner,Dog,Spayed Female,104.0,other,Tan/Black
Return_to_owner,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tan/White
Return_to_owner,Dog,Intact Female,156.0,other,White/Black
Transfer,Dog,Spayed Female,208.0,other,Tricolor
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue Tabby/White
Transfer,Dog,Intact Female,4.0,Chihuahua Shorthair Mix,other
Transfer,Dog,Intact Male,52.0,other,Brown Brindle/White
Euthanasia,Cat,Neutered Male,260.0,Domestic Longhair Mix,Black/White
Return_to_owner,Dog,Neutered Male,416.0,German Shepherd Mix,Sable
Adoption,Cat,Neutered Male,22.5,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Neutered Male,52.0,other,Black/White
Adoption,Dog,Spayed Female,520.0,Labrador Retriever Mix,Tan/White
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Tortie
Return_to_owner,Cat,Spayed Female,208.0,Siamese Mix,other
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Black
Euthanasia,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Dog,Neutered Male,104.0,other,Tan/White
Adoption,Dog,Spayed Female,52.0,other,Black/White
Transfer,Dog,Intact Female,22.5,other,Black/Tan
Adoption,Dog,Spayed Female,104.0,Labrador Retriever Mix,Black/White
Died,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Orange Tabby/White
Euthanasia,Dog,Intact Male,104.0,American Bulldog Mix,Tan/White
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Neutered Male,52.0,Labrador Retriever Mix,Buff
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Spayed Female,312.0,other,Red
Adoption,Dog,Neutered Male,156.0,Miniature Schnauzer Mix,other
Return_to_owner,Dog,Spayed Female,520.0,other,Brown/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Neutered Male,728.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,22.5,other,other
Adoption,Dog,Spayed Female,13.5,Australian Cattle Dog Mix,other
Return_to_owner,Dog,Neutered Male,156.0,Labrador Retriever Mix,Yellow
Transfer,Dog,Intact Male,4.5,German Shepherd Mix,Black/Brown
Adoption,Dog,Spayed Female,312.0,other,Red/White
Adoption,Dog,Neutered Male,27.0,other,Black/White
Euthanasia,Cat,Intact Female,2.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Intact Male,312.0,other,Red/White
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Blue
Return_to_owner,Dog,Spayed Female,416.0,other,Tan/White
Transfer,Cat,Intact Male,22.5,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Spayed Female,31.5,Chihuahua Shorthair Mix,Cream
Adoption,Dog,Spayed Female,40.5,other,Black/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,156.0,Labrador Retriever Mix,Black
Transfer,Cat,Spayed Female,104.0,Domestic Shorthair,Calico
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Neutered Male,52.0,Pit Bull Mix,Brown Brindle/White
Euthanasia,Dog,Neutered Male,520.0,other,White/Black
Adoption,Dog,Neutered Male,156.0,German Shepherd Mix,Black/White
Adoption,Dog,Neutered Male,52.0,Siberian Husky Mix,White
Adoption,Dog,Neutered Male,40.5,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Neutered Male,260.0,other,Black
Adoption,Dog,Spayed Female,4.5,other,Brown Brindle/White
Return_to_owner,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,Buff
Return_to_owner,Dog,Intact Female,52.0,other,Tan/Black
Adoption,Dog,Neutered Male,45.0,Chihuahua Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,31.5,other,other
Return_to_owner,Dog,Spayed Female,104.0,Miniature Poodle Mix,Black
Transfer,Dog,Neutered Male,104.0,other,Buff
Return_to_owner,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Male,208.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,52.0,other,Black/Tan
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,364.0,Chihuahua Shorthair Mix,Brown/White
Transfer,Dog,Spayed Female,104.0,other,other
Transfer,Dog,Intact Female,156.0,Shih Tzu Mix,other
Transfer,Cat,Spayed Female,52.0,Domestic Medium Hair Mix,Black/White
Return_to_owner,Cat,Spayed Female,624.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,52.0,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,312.0,other,Black/Brown
Adoption,Cat,Neutered Male,27.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,36.0,Jack Russell Terrier Mix,Tricolor
Transfer,Dog,Neutered Male,156.0,other,Brown Brindle
Return_to_owner,Cat,Spayed Female,104.0,Domestic Shorthair Mix,other
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,260.0,other,White
Return_to_owner,Dog,Spayed Female,260.0,Siberian Husky Mix,Black/Tan
Transfer,Dog,Neutered Male,27.0,other,Cream
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Neutered Male,52.0,other,Tan/White
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Spayed Female,36.0,Chihuahua Shorthair Mix,Black
Adoption,Dog,Neutered Male,27.0,German Shepherd Mix,White
Adoption,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,other
Transfer,Dog,Neutered Male,312.0,other,Tricolor
Adoption,Dog,Neutered Male,52.0,German Shepherd Mix,Brown
Transfer,Dog,Intact Female,22.5,other,Tan
Euthanasia,Dog,Neutered Male,208.0,other,Brown/Black
Return_to_owner,Dog,Spayed Female,45.0,Rat Terrier Mix,Tricolor
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,104.0,other,White/Tan
Adoption,Dog,Spayed Female,52.0,other,White/Tan
Transfer,Cat,Neutered Male,312.0,Domestic Medium Hair Mix,Black/White
Transfer,Cat,Intact Male,1.0,Domestic Shorthair Mix,Cream Tabby
Adoption,Dog,Neutered Male,208.0,Chihuahua Shorthair Mix,Sable
Adoption,Dog,Spayed Female,9.0,Labrador Retriever Mix,Black/White
Return_to_owner,Dog,Spayed Female,45.0,other,other
Adoption,Dog,Neutered Male,9.0,other,Sable
Return_to_owner,Dog,Neutered Male,104.0,Siberian Husky Mix,Black/White
Adoption,Dog,Neutered Male,31.5,other,White/Black
